demand_category,Primary production,Secondary Production,Manufacture,Electricity and gas,Water,Construction,Wholesale and retail,Transport,Hospitality,Information and communication,Finance and insurance,Real estate services,Owner Occupiers' Housing,Professional services,Administrative services,Public services and defence,Education,Health and social services,Arts and recreation services,Other services,Household services
Household spending,0.005630498,0.000356435,0.033974906,0.019304356,0.004948205,0.00292512,0.082984115,0.013342418,0.038533875,0.017593897,0.043208922,0.031430936,0.101932103,0.006863364,0.015188708,0.001231956,0.011499797,0.015069527,0.013483351,0.015261089,0.000998063
Government spending,4.176E-05,4.2405E-07,0.020794763,1.17991E-07,0.014238528,6.93877E-08,0.000536761,0.009167864,0,0.008293553,0,0,0,0.001454256,4.99525E-05,0.336040035,0.138775272,0.462658549,0.007948096,0,0
Non-profit institutions,0.000185509,2.29955E-05,0.002305996,2.95782E-05,0.000176096,0.000324675,0.001400443,0.000198905,0.000202711,0.002601472,0.002139242,0.019129019,0,0.043081289,0.011496771,0.000443293,0.540293776,0.231817518,0.049541704,0.097334305,0
Gross Fixed Capital Formation,0.004445948,0.000211861,0.052432936,0.001566571,0.00103178,0.424819728,0.036238598,0.001195825,0.000118928,0.105435853,0.003836783,0.021878624,0,0.068239614,0.002867163,0.007020163,0.014110078,0.002557897,0.003197326,0.000674022,0
EU goods exports,0.014293606,0.006780836,0.573577664,0.021327043,0.020925947,0.000311115,0.139863307,0.000457119,1.69582E-06,0.021255987,5.71482E-06,0.000204862,0,0.00521491,0.003204831,0,2.70619E-05,0.00059451,0.001717079,0.000868823,0
RoW goods exports,0.006117876,0.002685657,0.529727585,0.001968348,0.028640056,0.000276264,0.125880156,0.000411265,8.08121E-07,0.019247922,5.96648E-06,0.00018431,0,0.004692828,0.002885084,0,2.43381E-05,0.000534867,0.012482281,0.000783749,0
Exports of services,0.001426307,0.004174334,0.04349196,0.002799073,0.002261536,0.008534379,0.022938487,0.070429674,0.035698054,0.130625119,0.282581288,0.006997699,0.001607068,0.208196869,0.107948847,0.005450833,0.044795223,0.002414461,0.006875957,0.002533362,7.55387E-05
